target,outcome,attributor,rho,ceiling_4seed,ratio,p_onesided,bar,focal,PASS,in_criterion
C7,neg_plain_loss,IF,0.05391304347826086,0.11010682004930156,0.4896430889033095,0.40121598554224436,0.05505341002465078,False,False,False
C7,neg_denoise_loss,TracIn,0.46173913043478254,0.27197595792637114,1.697720393946673,0.011562029635097568,0.13598797896318557,False,True,True
C7,neg_denoise_loss,TRAK,0.1434782608695652,0.27197595792637114,0.5275402354071582,0.2517963231087682,0.13598797896318557,False,False,True
C7,neg_denoise_loss,IF,0.2678260869565217,0.27197595792637114,0.9847417727600288,0.10288195254782327,0.13598797896318557,False,False,False
C7,logit_success,TracIn,-0.3539130434782608,-0.019021246441110983,,0.9551207719550887,-0.009510623220555492,False,False,True
C7,logit_success,TRAK,-0.3069565217391304,-0.019021246441110983,,0.9277160659474132,-0.009510623220555492,False,False,True
C7,logit_success,IF,-0.20956521739130432,-0.019021246441110983,,0.8371519142142891,-0.009510623220555492,False,False,False
C8,neg_plain_loss,TracIn,-0.1026086956521739,-0.2058823529411764,,0.6833565917180124,-0.1029411764705882,False,False,True
C8,neg_plain_loss,TRAK,-0.19043478260869565,-0.2058823529411764,,0.8136236110786434,-0.1029411764705882,False,False,True
C8,neg_plain_loss,IF,-0.22434782608695653,-0.2058823529411764,,0.8540383970273799,-0.1029411764705882,False,False,False
C8,neg_denoise_loss,TracIn,0.35739130434782607,0.20125130344108444,1.7758459112412706,0.04321487841069335,0.10062565172054222,False,False,True
C8,neg_denoise_loss,TRAK,0.08782608695652173,0.20125130344108444,0.4364000901103853,0.3416076346074026,0.10062565172054222,False,False,True
C8,neg_denoise_loss,IF,0.3121739130434782,0.20125130344108444,1.5511646767289928,0.06875901479607179,0.10062565172054222,False,False,False
C8,logit_success,TracIn,-0.02434782608695652,0.08623832619125299,-0.2823318489850987,0.5449562899605231,0.043119163095626495,False,False,True
C8,logit_success,TRAK,0.13043478260869562,0.08623832619125299,1.512492048134457,0.27176298760879264,0.043119163095626495,False,False,True
C8,logit_success,IF,0.07391304347826086,0.08623832619125299,0.8570788272761923,0.36570958969620176,0.043119163095626495,False,False,False
C9,neg_plain_loss,TracIn,-0.08086956521739129,-0.3501362397820163,,0.6464096247658809,-0.17506811989100815,False,False,True
C9,neg_plain_loss,TRAK,-0.2904347826086956,-0.3501362397820163,,0.9157082056322584,-0.17506811989100815,False,False,True
C9,neg_plain_loss,IF,0.02434782608695652,-0.3501362397820163,,0.4550437100394768,-0.17506811989100815,False,False,False
C9,neg_denoise_loss,TracIn,0.29913043478260865,0.2147477360931436,1.3929387113672078,0.0778097772313975,0.1073738680465718,False,False,True
C9,neg_denoise_loss,TRAK,0.06173913043478261,0.2147477360931436,0.2874960712414877,0.3872147877452896,0.1073738680465718,False,False,True
C9,neg_denoise_loss,IF,0.22869565217391302,0.2147477360931436,1.0649502357255107,0.14121160381815823,0.1073738680465718,False,False,False
C9,logit_success,TracIn,-0.12608695652173912,0.04884187370979902,-2.5815339778097544,0.7214227961655157,0.02442093685489951,False,False,True
C9,logit_success,TRAK,-0.1243478260869565,0.04884187370979902,-2.5459266125985853,0.7186756291558418,0.02442093685489951,False,False,True
C9,logit_success,IF,-0.13043478260869562,0.04884187370979902,-2.6705523908376763,0.7282370123912074,0.02442093685489951,False,False,False
