rule,g,target,attributor,focal,lds,p_onesided,n_masks,ci_lo,ci_hi,ceiling,bar_half_ceiling,ratio,PASS
random,1,C9,TRAK,False,-0.19652173913043475,0.8213129652420481,24,-0.5807464725630977,0.2587708500655686,0.8945496491396712,0.4472748245698356,-0.21968790588587073,False
random,1,C9,TracIn,False,0.46173913043478254,0.011562029635097568,24,0.03502100467600056,0.7588908699542761,0.8945496491396712,0.4472748245698356,0.5161693717937936,True
random,3,C1,IF,True,0.3313043478260869,0.05688774673740126,24,-0.11890393782921894,0.7024410427338296,0.9327641408751334,0.4663820704375667,0.3551855536762511,False
random,3,C1,TRAK,True,-0.05304347826086955,0.5972206812693983,24,-0.4893265116432292,0.3567571115973737,0.9327641408751334,0.4663820704375667,-0.05686697841010844,False
random,3,C1,TracIn,True,0.046956521739130425,0.4137618979324297,24,-0.3356950591139298,0.4476129898111792,0.9327641408751334,0.4663820704375667,0.05034125957616157,False
random,3,C2,IF,False,0.5939130434782608,0.0011071717754938515,24,0.28854783505861115,0.788378126212456,0.9115002366303833,0.45575011831519163,0.6515774978554336,True
random,3,C2,TRAK,False,0.33652173913043476,0.0539281005963737,24,-0.043360586734182194,0.6451240214091707,0.9115002366303833,0.45575011831519163,0.3691954490044697,False
random,3,C2,TracIn,False,0.25217391304347825,0.11726378546080976,24,-0.16209729037764029,0.5715845733443554,0.9115002366303833,0.45575011831519163,0.27665808840128225,False
random,3,C3,IF,False,0.15652173913043477,0.23257814893784542,24,-0.24255795276638653,0.5154549777583867,0.6441876915821739,0.32209384579108696,0.24297536444076645,False
random,3,C3,TRAK,False,-0.44260869565217387,0.9848394052514269,24,-0.7287013249332723,-0.04858998083709935,0.6441876915821739,0.32209384579108696,-0.6870803361130562,False
random,3,C3,TracIn,False,0.3739130434782608,0.03593503688402976,24,-0.10027152910312254,0.7313566447239784,0.6441876915821739,0.32209384579108696,0.5804411483862754,False
random,3,C4,IF,False,-0.21565217391304345,0.8442427754357446,24,-0.5841362363219167,0.21866776685487693,0.7945492662473793,0.39727463312368966,-0.27141447745784103,False
random,3,C4,TRAK,False,-0.19652173913043475,0.8213129652420481,24,-0.6696071059683211,0.3409431696204626,0.7945492662473793,0.39727463312368966,-0.24733738671561317,False
random,3,C4,TracIn,False,0.1417391304347826,0.254416227163194,24,-0.2961332387629814,0.5387053643282517,0.7945492662473793,0.39727463312368966,0.17838935413559712,False
random,3,C5,IF,True,-0.18521739130434778,0.8068836590489123,24,-0.5406924522328065,0.23751639702667202,0.9177998400225849,0.45889992001129243,-0.20180586575368112,False
random,3,C5,TRAK,True,0.14260869565217388,0.25310461697642705,24,-0.266460642924257,0.5217224265564564,0.9177998400225849,0.45889992001129243,0.15538104217654322,False
random,3,C5,TracIn,True,0.2417391304347826,0.12755323310886668,24,-0.1639738546957927,0.5879779639185609,0.9177998400225849,0.45889992001129243,0.2633898153968233,False
random,3,C6,IF,False,0.029565217391304344,0.44546130218835234,24,-0.38096069868995636,0.4324715084956485,0.940385146963973,0.4701925734819865,0.03143947720437253,False
random,3,C6,TRAK,False,0.11217391304347826,0.30088622663361153,24,-0.30648163243830123,0.4864667334749976,0.940385146963973,0.4701925734819865,0.11928507527541345,False
random,3,C6,TracIn,False,-0.10086956521739131,0.680457034045461,24,-0.5057439093431944,0.31989658653026953,0.940385146963973,0.4701925734819865,-0.10726409869727101,False
random,3,C7,IF,False,0.09826086956521737,0.32391156185668246,24,-0.3133102210877541,0.47723864424576634,0.9151966795585321,0.45759833977926606,0.10736585016088121,False
random,3,C7,TRAK,False,0.23652173913043475,0.132910147079809,24,-0.2201638812062339,0.6152708100926357,0.9151966795585321,0.45759833977926606,0.25843815259964326,False
random,3,C7,TracIn,False,0.3539130434782608,0.044879228044911346,24,-0.13347874075003135,0.69759486412366,0.9151966795585321,0.45759833977926606,0.38670708863255443,False
random,3,C8,IF,False,-0.16869565217391302,0.7846488691395094,24,-0.559214732053418,0.23982375113849702,0.9097459233978006,0.4548729616989003,-0.18543161099733582,False
random,3,C8,TRAK,False,-0.13478260869565215,0.7349730567273075,24,-0.5197007770817639,0.28703893454366197,0.9097459233978006,0.4548729616989003,-0.14815412218859303,False
random,3,C8,TracIn,False,-0.25913043478260867,0.8892831446218206,24,-0.6466589570200794,0.134697432696076,0.9097459233978006,0.4548729616989003,-0.28483824782064987,False
random,3,C9,IF,False,-0.15130434782608695,0.7598270485103165,24,-0.5546105381483547,0.259630168476301,0.8945496491396712,0.4472748245698356,-0.16914024612451997,False
