ridge_rel,attributor,target,focal,demo_lds,demo_p1,demo_n,demo_ceiling,demo_ratio,demo_bar_half_ceiling,demo_PASS,cluster_lds,cluster_p1,cluster_n,cluster_ceiling,cluster_ratio
1e-05,IF,C2,False,0.16869565217391302,0.21535113086049065,24,0.9115002366303833,0.185074721206375,0.45575011831519163,False,0.05791795738289683,0.3612992840206839,40,0.27450980392156865,0.2109868447519813
1e-05,IF,C3,False,-0.39391304347826084,0.971582652240185,24,0.6441876915821739,-0.6114880005092622,0.32209384579108696,False,0.4297249084592995,0.0028257370647835774,40,0.8424242424242424,0.5101051071639167
1e-05,IF,C4,False,0.027826086956521737,0.4486524093109082,24,0.7945492662473793,0.03502122289778594,0.39727463312368966,False,0.05585281141462499,0.3660587242760817,40,0.27450980392156865,0.20346381301041958
1e-05,IF,C5,True,0.007826086956521738,0.48552415425604806,24,0.9177998400225849,0.008527008412127373,0.45889992001129243,False,0.5259551300103257,0.0002455485689660273,40,0.5636363636363636,0.9331461984054166
1e-05,IF,C6,False,0.02869565217391304,0.44705645728753285,24,0.940385146963973,0.030514786698361576,0.4701925734819865,False,0.5043649676147565,0.0004525011687264144,40,0.12380952380952381,4.073717046119187
1e-05,IF,C7,False,0.37043478260869556,0.03738395843442315,24,0.9151966795585321,0.40475975370385303,0.45759833977926606,False,-0.01905924326354333,0.5464627393205672,40,0.8431372549019609,-0.02260514898699325
1e-05,IF,C8,False,0.39826086956521733,0.026957364228299398,24,0.9097459233978006,0.437771535241133,0.4548729616989003,False,0.5806572769953052,4.282329941179016e-05,40,0.8253968253968255,0.7034886240520044
1e-05,IF,C9,False,-0.3678260869565217,0.9615005645990848,24,0.8945496491396712,-0.4111857707509881,0.4472748245698356,False,-0.08991927914398347,0.7094524515319882,40,0.2380952380952381,-0.37766097240473057
1e-05,TRAK,C1,True,-0.22869565217391302,0.8587883961818418,24,0.9327641408751334,-0.245180579046861,0.4663820704375667,False,0.2703717611716109,0.045768359092042916,40,0.5079365079365079,0.532294404806609
1e-05,TRAK,C2,False,0.2539130434782608,0.11560368258372715,24,0.9115002366303833,0.27856607521784277,0.45575011831519163,False,-0.16286492067962077,0.842337162410389,40,0.27450980392156865,-0.5932936396186185
1e-05,TRAK,C3,False,-0.38869565217391305,0.9697507976750872,24,0.6441876915821739,-0.6033888216945701,0.32209384579108696,False,0.07914749788752229,0.313674206195625,40,0.8424242424242424,0.09395206583770632
1e-05,TRAK,C4,False,-0.006956521739130434,0.5128679697333738,24,0.7945492662473793,-0.008755305724446485,0.39727463312368966,False,0.02036984886886323,0.45035762749507097,40,0.27450980392156865,0.07420444945085891
1e-05,TRAK,C5,True,-0.10086956521739131,0.680457034045461,24,0.9177998400225849,-0.1099036639785306,0.45889992001129243,False,0.5250164272974749,0.000252376917647844,40,0.5636363636363636,0.9314807581084232
1e-05,TRAK,C6,False,-0.13304347826086957,0.7322881337281901,24,0.940385146963973,-0.14147764741967642,0.4701925734819865,False,0.5201351731906505,0.0002906971447499618,40,0.12380952380952381,4.201091783462946
1e-05,TRAK,C7,False,0.3878260869565217,0.03056315504004058,24,0.9151966795585321,0.42376255904206217,0.45759833977926606,False,-0.0682565017369261,0.6622061923206386,40,0.8431372549019609,-0.08095538578100536
1e-05,TRAK,C8,False,0.3947826086956522,0.028120567582619268,24,0.9097459233978006,0.433948203055621,0.4548729616989003,False,0.3703286384976526,0.009331091351926871,40,0.8253968253968255,0.44866738894907904
1e-05,TRAK,C9,False,-0.2895652173913043,0.9150399065237451,24,0.8945496491396712,-0.32369943654865024,0.4472748245698356,False,-0.3835179275389525,0.9927148837067011,40,0.2380952380952381,-1.6107752956636003
0.0001,IF,C1,True,-0.07304347826086956,0.6327664329115854,24,0.9327641408751334,-0.07830862600736245,0.4663820704375667,False,0.2544123169357867,0.056572481454058195,40,0.5079365079365079,0.5008742489673301
0.0001,IF,C2,False,0.03043478260869565,0.44386696778798024,24,0.9115002366303833,0.033389769289809926,0.45575011831519163,False,0.11067304984511404,0.24829804669014494,40,0.27450980392156865,0.40316611015005827
0.0001,IF,C3,False,-0.27478260869565213,0.9031096820657214,24,0.6441876915821739,-0.4265567509071233,0.32209384579108696,False,0.36700779269552153,0.009916197827161249,40,0.8424242424242424,0.43565673233641045
0.0001,IF,C4,False,-0.07913043478260869,0.6433922104491943,24,0.7945492662473793,-0.09959160261557876,0.39727463312368966,False,0.1491598610719985,0.1791500930970568,40,0.27450980392156865,0.5433680653337087
0.0001,IF,C5,True,0.03217391304347826,0.4406808560142436,24,0.9177998400225849,0.03505547902763476,0.45889992001129243,False,0.5901623955693233,3.060281657378911e-05,40,0.5636363636363636,1.047062314719767
0.0001,IF,C6,False,0.0634782608695652,0.38412120361187646,24,0.940385146963973,0.06750240693879984,0.4701925734819865,False,0.4771425889420821,0.0009257258154495413,40,0.12380952380952381,3.8538439876091246
0.0001,IF,C7,False,0.39739130434782605,0.027244602072135662,24,0.9151966795585321,0.43421410197807714,0.45759833977926606,False,-0.006478264951647732,0.5158232011922133,40,0.8431372549019609,-0.007683523547303123
0.0001,IF,C8,False,0.2895652173913043,0.08496009347625486,24,0.9097459233978006,0.3182924044438805,0.4548729616989003,False,0.6636619718309859,1.5216382215776708e-06,40,0.8253968253968255,0.8040520043336943
0.0001,IF,C9,False,-0.1434782608695652,0.7482036768912318,24,0.8945496491396712,-0.16039161270428615,0.4472748245698356,False,0.17308053313309552,0.14275298838251435,40,0.2380952380952381,0.7269382391590011
0.0001,TRAK,C1,True,-0.22869565217391302,0.8587883961818418,24,0.9327641408751334,-0.245180579046861,0.4663820704375667,False,0.26755538865940665,0.047549225744716636,40,0.5079365079365079,0.5267496714232068
0.0001,TRAK,C2,False,0.23826086956521736,0.13110875476081812,24,0.9115002366303833,0.2613941938687977,0.45575011831519163,False,-0.13864639068806908,0.80322652440625,40,0.27450980392156865,-0.5050689946493945
0.0001,TRAK,C3,False,-0.4382608695652173,0.9839084442482691,24,0.6441876915821739,-0.6803310204341461,0.32209384579108696,False,0.1454323537695991,0.18528614467720148,40,0.8424242424242424,0.17263552785599892
0.0001,TRAK,C4,False,-0.04521739130434782,0.5830882890075946,24,0.7945492662473793,-0.05690948720890215,0.39727463312368966,False,0.030695578710222476,0.4254289131209866,40,0.27450980392156865,0.11181960815866758
0.0001,TRAK,C5,True,-0.06608695652173913,0.6205062737240883,24,0.9177998400225849,-0.07200584881352004,0.45889992001129243,False,0.5362808598516849,0.00018063127590092854,40,0.5636363636363636,0.9514660416723443
0.0001,TRAK,C6,False,-0.07565217391304348,0.6373324388345215,24,0.940385146963973,-0.08044807402295326,0.4701925734819865,False,0.5178822866798085,0.0003100743373689,40,0.12380952380952381,4.182895392413838
0.0001,TRAK,C7,False,0.39826086956521733,0.026957364228299398,24,0.9151966795585321,0.43516424224498756,0.45759833977926606,False,-0.06205990047882827,0.6481839538421841,40,0.8431372549019609,-0.07360592847488934
0.0001,TRAK,C8,False,0.40869565217391296,0.02369066876977094,24,0.9097459233978006,0.4492415317976692,0.4548729616989003,False,0.41896713615023473,0.0035640626235142986,40,0.8253968253968255,0.5075947995666305
0.0001,TRAK,C9,False,-0.3139130434782608,0.9323880945828263,24,0.8945496491396712,-0.3509174071893776,0.4472748245698356,False,-0.37356861272761394,0.9912115542445519,40,0.2380952380952381,-1.5689881734559785
0.001,IF,C1,True,0.1452173913043478,0.24918973462280572,24,0.9327641408751334,0.1556850064670182,0.4663820704375667,False,0.14288396545249715,0.18955235020461392,40,0.5079365079365079,0.2813028069846038
0.001,IF,C2,False,0.08347826086956521,0.3490803003393712,24,0.9115002366303833,0.09158336719490721,0.45575011831519163,False,-0.028630432741950627,0.5696050307224834,40,0.27450980392156865,-0.10429657641710585
0.001,IF,C3,False,-0.2026086956521739,0.8288133366095395,24,0.6441876915821739,-0.31451811063721435,0.32209384579108696,False,-0.32851375457703497,0.9807575074067453,40,0.8424242424242424,-0.3899623705410847
0.001,IF,C4,False,-0.18869565217391301,0.8113921824076372,24,0.7945492662473793,-0.23748766777561087,0.39727463312368966,False,0.28452079226508964,0.03758821308120029,40,0.27450980392156865,1.036468600394255
0.001,IF,C5,True,0.07739130434782608,0.35963357277166236,24,0.9177998400225849,0.08432263874214847,0.45889992001129243,False,0.601051347038393,2.055250449855405e-05,40,0.5636363636363636,1.0663814221648908
0.001,IF,C6,False,-0.15652173913043477,0.7674218510621545,24,0.940385146963973,-0.16644429108197223,0.4701925734819865,False,0.34103069557871024,0.01563988513854781,40,0.12380952380952381,2.7544786950588134
0.001,IF,C7,False,0.36260869565217385,0.04080580970322582,24,0.9151966795585321,0.39620849130165897,0.45759833977926606,False,-0.2804431508778518,0.9601818606185635,40,0.8431372549019609,-0.33261862080861493
0.001,IF,C8,False,0.13565217391304346,0.26368927095292805,24,0.9097459233978006,0.14910995523497106,0.4548729616989003,False,0.6910798122065727,3.9777740361090436e-07,40,0.8253968253968255,0.8372697724810398
0.001,IF,C9,False,-0.15478260869565216,0.764904146463125,24,0.8945496491396712,-0.17302852764462384,0.4472748245698356,False,0.03792003003566735,0.40815023137013184,40,0.2380952380952381,0.15926412614980287
0.001,TRAK,C1,True,-0.1782608695652174,0.7976853689640626,24,0.9327641408751334,-0.19111033727987264,0.4663820704375667,False,0.2857679309049943,0.03692610839287309,40,0.5079365079365079,0.5626056139692076
0.001,TRAK,C2,False,0.19565217391304346,0.17977398161711464,24,0.9115002366303833,0.2146485168630638,0.45575011831519163,False,0.03670327607246785,0.41104928554490927,40,0.27450980392156865,0.13370479140684716
