target,attributor,outcome,lds,n_masks,p_onesided,partial_rho_ctrl_in_target_count,focal
C7,IF,neg_plain_loss,0.2495652173913043,24,0.11978324027283935,0.2721739130434782,False
C7,IF,neg_transport_loss,0.10695652173913042,24,0.30944049871659035,0.12956521739130433,False
C7,IF,neg_interaction_loss,0.4956521739130434,24,0.006889005025133191,0.49391304347826087,False
C8,TracIn,logit_success,-0.16474224709424887,24,0.7791314750933551,-0.1453438322436734,False
C8,TracIn,neg_plain_loss,-0.09739130434782609,24,0.6746271765055418,-0.10956521739130433,False
C8,TracIn,neg_transport_loss,-0.21565217391304345,24,0.8442427754357446,-0.21391304347826084,False
C8,TracIn,neg_interaction_loss,0.0608695652173913,24,0.38876409422657743,0.049565217391304345,False
C8,TRAK,logit_success,0.006101564707194402,24,0.4887130847079721,0.07310707729621896,False
C8,TRAK,neg_plain_loss,0.27652173913043476,24,0.09543044516949016,0.3121739130434782,False
C8,TRAK,neg_transport_loss,0.348695652173913,24,0.04746505942284122,0.33999999999999997,False
C8,TRAK,neg_interaction_loss,0.21739130434782608,24,0.15376660527445357,0.21478260869565213,False
C8,IF,logit_success,0.018304694121583205,24,0.4661728406513468,0.06266320911104482,False
C8,IF,neg_plain_loss,-0.4504347826086956,24,0.9864064606076822,-0.4382608695652173,False
C8,IF,neg_transport_loss,-0.29304347826086957,24,0.9176910736497059,-0.29565217391304344,False
C8,IF,neg_interaction_loss,-0.4356521739130434,24,0.9833283790103546,-0.40956521739130425,False
C9,TracIn,logit_success,-0.10226287597983011,24,0.6827808523734318,-0.10437051779671415,False
C9,TracIn,neg_plain_loss,0.46173913043478254,24,0.011562029635097568,0.36,False
C9,TracIn,neg_transport_loss,0.6095652173913042,24,0.0007831036524134759,0.4513043478260869,False
C9,TracIn,neg_interaction_loss,0.21304347826086956,24,0.1587726262256455,0.1643478260869565,False
C9,TRAK,logit_success,0.46040052249642655,24,0.011788953005861583,0.4770602417624809,False
C9,TRAK,neg_plain_loss,-0.15391304347826085,24,0.7636400665511923,-0.23043478260869563,False
C9,TRAK,neg_transport_loss,-0.10869565217391304,24,0.6934219011296834,-0.15391304347826085,False
C9,TRAK,neg_interaction_loss,-0.07913043478260869,24,0.6433922104491943,-0.15565217391304348,False
C9,IF,logit_success,-0.044386439786990084,24,0.5815815521534977,-0.06958034519780942,False
C9,IF,neg_plain_loss,0.1026086956521739,24,0.3166434082819876,-0.09565217391304347,False
C9,IF,neg_transport_loss,0.2834782608695652,24,0.0897417214877538,0.12869565217391304,False
C9,IF,neg_interaction_loss,-0.13565217391304346,24,0.736310729047072,-0.2452173913043478,False
