group,density,n_ckpt,lr_weighted,estimator,target,lds,ceiling,ratio,p,n,passed
head,last1,1,False,TracIn,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,last1,1,False,TracIn,C5,0.3878260869565217,0.9380881188989534,0.41342180882934365,0.03056315504004058,24,False
head,last1,1,False,TracIn_trunc_k1,C1,0.3426086956521739,0.9505589414333672,0.3604286706677518,0.05062024503528925,24,False
head,last1,1,False,TracIn_trunc_k1,C5,0.31478260869565217,0.9380881188989534,0.3355576116507229,0.06704353419973938,24,False
head,last1,1,False,TracIn_trunc_k5,C1,-0.10173913043478258,0.9505589414333672,-0.10703084890387553,0.6819081088971573,24,False
head,last1,1,False,TracIn_trunc_k5,C5,-0.33826086956521734,0.9380881188989534,-0.3605853893152795,0.9470327989183898,24,False
head,last2,2,True,TracIn,C1,0.548695652173913,0.9505589414333672,0.577234749216628,0.002747740943090049,24,True
head,last2,2,True,TracIn,C5,0.33999999999999997,0.9380881188989534,0.3624392987719134,0.052018983349097186,24,False
head,last2,2,True,TracIn_trunc_k1,C1,0.5304347826086956,0.9505589414333672,0.5580240840287528,0.003832812839974303,24,True
head,last2,2,True,TracIn_trunc_k1,C5,0.07913043478260869,0.9380881188989534,0.08435288027683917,0.3566077895508057,24,False
head,last2,2,True,TracIn_trunc_k5,C1,0.5217391304347825,0.9505589414333672,0.5488761482250026,0.004463032958436802,24,True
head,last2,2,True,TracIn_trunc_k5,C5,-0.47478260869565214,0.9380881188989534,-0.5061172816610351,0.9904699506663197,24,False
head,last2,2,False,TracIn,C1,0.5495652173913043,0.9505589414333672,0.5781495427970029,0.002703289914333427,24,True
head,last2,2,False,TracIn,C5,0.35130434782608694,0.9380881188989534,0.3744897102400333,0.046158627305053934,24,False
head,last2,2,False,TracIn_trunc_k1,C1,0.4452173913043478,0.9505589414333672,0.46837431315200234,0.01462299468114405,24,False
head,last2,2,False,TracIn_trunc_k1,C5,0.2078260869565217,0.9380881188989534,0.22154218006774243,0.16490930890275887,24,False
head,last2,2,False,TracIn_trunc_k5,C1,0.5008695652173912,0.9505589414333672,0.5269211022960026,0.0063326394628343205,24,True
head,last2,2,False,TracIn_trunc_k5,C5,-0.4591304347826086,0.9380881188989534,-0.4894320965513306,0.987992432628104,24,False
head,last3,3,True,TracIn,C1,0.5165217391304348,0.9505589414333672,0.5433873867427528,0.0048808065318686296,24,True
head,last3,3,True,TracIn,C5,0.05304347826086955,0.9380881188989534,0.05654423842733175,0.4027793187306017,24,False
head,last3,3,True,TracIn_trunc_k1,C1,0.17217391304347823,0.9505589414333672,0.1811291289142509,0.21055903446389318,24,False
head,last3,3,True,TracIn_trunc_k1,C5,-0.5321739130434783,0.9380881188989534,-0.5672962937299515,0.9962838825686001,24,False
head,last3,3,True,TracIn_trunc_k5,C1,-0.021739130434782605,0.9505589414333672,-0.022869839509375114,0.5401556162816863,24,False
head,last3,3,True,TracIn_trunc_k5,C5,-0.4052173913043478,0.9380881188989534,-0.43196090339568194,0.9752567982802253,24,False
