group,density,n_ckpt,lr_weighted,estimator,target,lds,ceiling,ratio,p,n,passed
embed,evenly3,3,True,TracIn_trunc_k5,C5,0.3478260869565217,0.8444377100886411,0.41190259838112886,0.04790659716180722,24,False
embed,evenly3,3,False,TracIn,C1,-0.13478260869565215,0.82979067062928,-0.16242965059300848,0.7349730567273075,24,False
embed,evenly3,3,False,TracIn,C5,0.29913043478260865,0.8444377100886411,0.3542362346077708,0.0778097772313975,24,False
embed,evenly3,3,False,TracIn_trunc_k1,C1,-0.12782608695652173,0.82979067062928,-0.15404618475595,0.7241577477591982,24,False
embed,evenly3,3,False,TracIn_trunc_k1,C5,0.27043478260869563,0.8444377100886411,0.32025427024132774,0.10060646851666996,24,False
embed,evenly3,3,False,TracIn_trunc_k5,C1,-0.1973913043478261,0.82979067062928,-0.23788084312653507,0.8223960547945911,24,False
embed,evenly3,3,False,TracIn_trunc_k5,C5,0.33391304347826084,0.8444377100886411,0.39542649444588374,0.05539341627856707,24,False
obs_blocks_00,last1,1,False,TracIn,C1,-0.021739130434782605,0.82979067062928,-0.02619833074080782,0.5401556162816863,24,False
obs_blocks_00,last1,1,False,TracIn,C5,0.19913043478260867,0.8444377100886411,0.23581423757319628,0.1754493565384439,24,False
obs_blocks_00,last1,1,False,TracIn_trunc_k1,C1,-0.2539130434782608,0.82979067062928,-0.30599650305263537,0.8843963174162729,24,False
obs_blocks_00,last1,1,False,TracIn_trunc_k1,C5,0.23565217391304347,0.8444377100886411,0.2790640104032148,0.13381675520334535,24,False
obs_blocks_00,last1,1,False,TracIn_trunc_k5,C1,-0.2417391304347826,0.82979067062928,-0.29132543783778303,0.8724467668911333,24,False
obs_blocks_00,last1,1,False,TracIn_trunc_k5,C5,0.1217391304347826,0.8444377100886411,0.14416590943339513,0.28546776134445834,24,False
obs_blocks_00,last2,2,True,TracIn,C1,-0.2434782608695652,0.82979067062928,-0.29342130429704766,0.8742009190785786,24,False
obs_blocks_00,last2,2,True,TracIn,C5,0.17130434782608694,0.8444377100886411,0.202862029702706,0.21175156839220233,24,False
obs_blocks_00,last2,2,True,TracIn_trunc_k1,C1,-0.26347826086956516,0.82979067062928,-0.31752376857859077,0.8932488167073809,24,False
obs_blocks_00,last2,2,True,TracIn_trunc_k1,C5,0.16869565217391302,0.8444377100886411,0.19977276021484752,0.21535113086049065,24,False
obs_blocks_00,last2,2,True,TracIn_trunc_k5,C1,-0.2869565217391304,0.82979067062928,-0.34581796577866325,0.9130128790481677,24,False
obs_blocks_00,last2,2,True,TracIn_trunc_k5,C5,-0.07478260869565216,0.8444377100886411,-0.0885590586519427,0.6358124192212229,24,False
obs_blocks_00,last2,2,False,TracIn,C1,-0.17304347826086955,0.82979067062928,-0.20853871269683028,0.7906298252138826,24,False
obs_blocks_00,last2,2,False,TracIn,C5,0.16695652173913042,0.8444377100886411,0.19771324722294187,0.2177690526603073,24,False
obs_blocks_00,last2,2,False,TracIn_trunc_k1,C1,-0.37739130434782603,0.82979067062928,-0.4548030216604238,0.9654707273616695,24,False
obs_blocks_00,last2,2,False,TracIn_trunc_k1,C5,0.21739130434782608,0.8444377100886411,0.25743912398820556,0.15376660527445357,24,False
obs_blocks_00,last2,2,False,TracIn_trunc_k5,C1,-0.3347826086956522,0.82979067062928,-0.4034542934084405,0.9450982320390652,24,False
obs_blocks_00,last2,2,False,TracIn_trunc_k5,C5,0.041739130434782605,0.8444377100886411,0.04942831180573547,0.4232260566998609,24,False
