weighting,estimator,target,obs_source,lds,ceiling,ratio,p,n,passed
interaction,trunc_k1,C1,campaign,0.4626086956521739,0.9615769124650185,0.4810938050355938,0.01141651710265679,24,False
interaction,trunc_k1,C5,campaign,0.4234782608695652,0.9234569735693455,0.45857930904212807,0.019601973796970786,24,False
interaction,trunc_k2,C1,campaign,0.2539130434782608,0.9615769124650185,0.2640590057714161,0.11560368258372715,24,False
interaction,trunc_k2,C5,campaign,0.4513043478260869,0.9234569735693455,0.4887118303754917,0.01342776013780395,24,False
interaction,trunc_k5,C1,campaign,-0.23826086956521736,0.9615769124650185,-0.2477813958266028,0.8688912452391819,24,False
interaction,trunc_k5,C5,campaign,0.07478260869565216,0.9234569735693455,0.0809811510834148,0.36418758077877716,24,False
interaction,trunc_k10,C1,campaign,-0.23217391304347823,0.9615769124650185,-0.24145121418139764,0.8625173794084112,24,False
interaction,trunc_k10,C5,campaign,0.13739130434782607,0.9234569735693455,0.14877932408348302,0.2610235731636652,24,False
ens_var,GradDot_dmean,C1,campaign,-0.049565217391304345,0.9136668803346715,-0.05424867471736401,0.5909531051984646,24,False
ens_var,GradDot_dmean,C5,campaign,0.3417391304347826,0.9292246300504351,0.3677680502466171,0.05108336060409125,24,False
ens_var,trunc_k0,C1,campaign,-0.049565217391304345,0.9136668803346715,-0.05424867471736401,0.5909531051984646,24,False
ens_var,trunc_k0,C5,campaign,0.3417391304347826,0.9292246300504351,0.3677680502466171,0.05108336060409125,24,False
ens_var,trunc_k1,C1,campaign,-0.3060869565217391,0.9136668803346715,-0.33500935965810763,0.9271162952067029,24,False
ens_var,trunc_k1,C5,campaign,0.3278260869565217,0.9292246300504351,0.35279530519840874,0.058925810544442965,24,False
ens_var,trunc_k2,C1,campaign,-0.34434782608695647,0.9136668803346715,-0.37688552961537103,0.9502966495034917,24,False
ens_var,trunc_k2,C5,campaign,0.28521739130434776,0.9292246300504351,0.3069412734882707,0.08835698452439676,24,False
ens_var,trunc_k5,C1,campaign,-0.49391304347826087,0.9136668803346715,-0.5405832849028555,0.992916865989726,24,False
ens_var,trunc_k5,C5,campaign,-0.2078260869565217,0.9292246300504351,-0.22365537915761188,0.8350906910972411,24,False
ens_var,trunc_k10,C1,campaign,-0.548695652173913,0.9136668803346715,-0.6005423464325735,0.99725225905691,24,False
ens_var,trunc_k10,C5,campaign,0.11913043478260868,0.9292246300504351,0.1282041294752838,0.28963795100406253,24,False
ens_var_q75,GradDot_dmean,C1,campaign,0.2504347826086956,0.9143627781523938,0.2738899576760292,0.11893951138485667,24,False
ens_var_q75,GradDot_dmean,C5,campaign,0.38608695652173913,0.8979354352926859,0.4299718457996843,0.03119857978382517,24,False
ens_var_q75,trunc_k0,C1,campaign,0.2504347826086956,0.9143627781523938,0.2738899576760292,0.11893951138485667,24,False
