target,config,n_masks,depth,budget,ceiling,level_sd_est,level_sd_graddot,lds_est_mean,lds_graddot_mean,ratio_est_mean,paired_sd,paired_mean,ci_width_95,power_0.10,power_0.15,power_0.20,power_0.30
C5,relatif_C5,72,4,288,0.8954840860214975,0.10799961494346338,0.12314796076942518,0.33998838577525564,0.20458327424681447,0.3796699361635486,0.1051351151760184,0.13540511152844126,0.4121296514899921,0.24393623866531638,0.41366853293117334,0.6015882934510624,0.8865950565115912
C5,relatif_C5,72,5,360,0.9167787999568613,0.10978869667951978,0.12359650344321131,0.3446517909281436,0.20178233752307415,0.3759377844954105,0.10659111900843479,0.14286945340506943,0.4178371865130644,0.23987983270633478,0.4060929869941494,0.5915272140950276,0.878927015972831
C5,relatif_C5,72,6,432,0.9297838259849815,0.11077004323482749,0.12427648520569726,0.3475237026402574,0.20281665768360493,0.37376828132292206,0.1007566566392764,0.14470704495665246,0.39496609402596344,0.25708339419942294,0.4379699097826176,0.633119512377724,0.9086712617176327
C5,relatif_C5,72,8,576,0.9424313805491429,0.10281788058155786,0.118356389376486,0.3521718614404764,0.20701826676007692,0.3736843537990748,0.09653067253140972,0.14515359468039946,0.3784002363231261,0.2712908975030942,0.4637687854612738,0.6653200545920673,0.9282617739278063
C5,relatif_C5,72,10,720,0.9543496435684687,0.11206859637662939,0.12265196982803146,0.3477266489955427,0.20067550084042476,0.3643598039135176,0.09759611617275298,0.1470511481551179,0.38257677539719165,0.2675555926990396,0.4570346445758477,0.6570437319558824,0.9235035144269639
C5,relatif_C5,96,2,192,0.8107150697793004,0.09753637171086661,0.11591673759878805,0.3232177136526076,0.18564634690004406,0.39868225681384784,0.08884516476481522,0.13757136675256357,0.3482730458780756,0.3017757867417834,0.5173392936333125,0.7278268455837433,0.9583460646120445
C5,relatif_C5,96,3,288,0.8609288440604697,0.10135340922918563,0.1102672983847856,0.3423338231052262,0.19763140013331748,0.39763312086356517,0.08222307953182892,0.1447024229719088,0.32231447176476935,0.33408894295309244,0.5712084707855319,0.7845210219410088,0.9774519503111941
C5,relatif_C5,96,4,384,0.8961269702270279,0.09739383045372878,0.11483045829527705,0.3513999515852135,0.20913269070031196,0.39213187780319636,0.08940707631150423,0.14226726088490152,0.3504757391410966,0.29931421421974813,0.5131092469433708,0.723110120149313,0.956421169053622
C5,relatif_C5,96,5,480,0.9148208460743118,0.09508125129650404,0.10707481866165221,0.35024475251505927,0.20610937980131036,0.3828561122300973,0.08218005853903512,0.14413537271374893,0.3221458294730177,0.3343206774630177,0.5715833501341101,0.7848933784460626,0.9775541066195003
C5,relatif_C5,96,6,576,0.9285385310856783,0.09166012710297837,0.10278277351433576,0.34937699239507947,0.20577703964222382,0.376265476012693,0.08551714016444995,0.14359995275285564,0.3352271894446438,0.31721624148372274,0.5434704188449464,0.7561146241376784,0.9687839912386156
C5,relatif_C5,96,8,768,0.9453678029195426,0.09808339596805085,0.1069470621531716,0.34215360072968104,0.19894864261397893,0.36192643717399875,0.08534588457298864,0.14320495811570214,0.33455586752611544,0.3180527386305333,0.5448659434728484,0.7575838792605603,0.9692757475083115
C5,relatif_C5,96,10,960,0.9555452825700614,0.09979991904810538,0.10562421390550812,0.35504901602947303,0.2070303441784453,0.3715669183929444,0.08171788243526147,0.1480186718510277,0.32033409914622496,0.33682961572809045,0.5756313995453153,0.7888944412844083,0.9786336633410974
C5,relatif_C5,120,2,240,0.8088596110892025,0.08852639356932032,0.09990458843065841,0.3274425907276801,0.19504639817861613,0.4048200531199093,0.07687330023617225,0.13239619254906393,0.30134333692579524,0.3654186848446912,0.6203533827378833,0.8306734446932982,0.9880169321109784
