group,estimator,target,n_params_frac,lds,ceiling,ratio,p,n,passed
block_01,trunc_k10,C5,,0.7104347826086955,0.9380881188989534,0.7573220130349186,5.015152883025913e-05,24,True
block_01,trunc_k20,C1,,-0.3565217391304348,0.9505589414333672,-0.3750653679537519,0.9563734477084506,24,False
block_01,trunc_k20,C5,,0.7026086956521739,0.9380881188989534,0.7489794204800666,6.455143006179795e-05,24,True
block_01,trunc_k135,C1,,-0.37304347826086953,0.9505589414333672,-0.39244644598087697,0.9637068089119595,24,False
block_01,trunc_k135,C5,,0.6104347826086955,0.9380881188989534,0.6507222192784736,0.0007677786998006003,24,True
block_02,GradDot_dmean,C1,,0.21391304347826084,0.9505589414333672,0.22503922077225114,0.1577635653457728,24,False
block_02,GradDot_dmean,C5,,0.36695652173913035,0.9380881188989534,0.39117489534973765,0.038876808014297846,24,False
block_02,trunc_k0,C1,,0.21391304347826084,0.9505589414333672,0.22503922077225114,0.1577635653457728,24,False
block_02,trunc_k0,C5,,0.36695652173913035,0.9380881188989534,0.39117489534973765,0.038876808014297846,24,False
block_02,trunc_k1,C1,,0.20434782608695648,0.9505589414333672,0.21497649138812605,0.169078624256588,24,False
block_02,trunc_k1,C5,,0.3043478260869565,0.9380881188989534,0.3244341549109199,0.07409385429314208,24,False
block_02,trunc_k2,C1,,0.18869565217391301,0.9505589414333672,0.198510206941376,0.1886078175923628,24,False
block_02,trunc_k2,C5,,0.3182608695652174,0.9380881188989534,0.33926543056399056,0.0648043883703676,24,False
block_02,trunc_k5,C1,,0.03130434782608695,0.9505589414333672,0.032932568893500165,0.44227347782764753,24,False
block_02,trunc_k5,C5,,0.31130434782608696,0.9380881188989534,0.33184979273745524,0.06933777133493857,24,False
block_02,trunc_k10,C1,,0.04,0.9505589414333672,0.042080504697250214,0.42639021971699514,24,False
block_02,trunc_k10,C5,,0.11043478260869564,0.9380881188989534,0.11772325049624809,0.30372662937585543,24,False
block_02,trunc_k20,C1,,-0.00608695652173913,0.9505589414333672,-0.006403555062625033,0.5112598991761421,24,False
block_02,trunc_k20,C5,,-0.07217391304347825,0.9380881188989534,-0.07693724245030387,0.6312405079523709,24,False
block_02,trunc_k135,C1,,-0.11913043478260868,0.9505589414333672,-0.12532672051137564,0.7103620489959375,24,False
block_02,trunc_k135,C5,,0.21826086956521737,0.9380881188989534,0.23266563680754543,0.1527771957922471,24,False
block_03,GradDot_dmean,C1,,0.3834782608695652,0.9505589414333672,0.4034239689453771,0.03217069904610962,24,False
block_03,GradDot_dmean,C5,,0.368695652173913,0.9380881188989534,0.39302880480637153,0.03812484423954127,24,False
block_03,trunc_k0,C1,,0.3834782608695652,0.9505589414333672,0.4034239689453771,0.03217069904610962,24,False
block_03,trunc_k0,C5,,0.368695652173913,0.9380881188989534,0.39302880480637153,0.03812484423954127,24,False
block_03,trunc_k1,C1,,0.19652173913043475,0.9505589414333672,0.206743349164751,0.17868703475795183,24,False
block_03,trunc_k1,C5,,0.32434782608695645,0.9380881188989534,0.3457541136622089,0.06101661942694002,24,False
block_03,trunc_k2,C1,,-0.008695652173913044,0.9505589414333672,-0.009147935803750047,0.5160835029148654,24,False
block_03,trunc_k2,C5,,0.49652173913043474,0.9380881188989534,0.5292911498689579,0.006793590117994562,24,True
block_03,trunc_k5,C1,,-0.02695652173913043,0.9505589414333672,-0.02835860099162514,0.5497508655485589,24,False
block_03,trunc_k5,C5,,0.09130434782608696,0.9380881188989534,0.09733024647327598,0.3356706347823206,24,False
block_03,trunc_k10,C1,,-0.11652173913043477,0.9505589414333672,-0.12258233977025063,0.7061654835244424,24,False
block_03,trunc_k10,C5,,0.03565217391304347,0.9380881188989534,0.03800514386099347,0.4343195231123073,24,False
block_03,trunc_k20,C1,,-0.26608695652173914,0.9505589414333672,-0.27992683559475146,0.8955818925949491,24,False
block_03,trunc_k20,C5,,-0.32695652173913037,0.9380881188989534,-0.34853497784715964,0.9405564575707975,24,False
block_03,trunc_k135,C1,,-0.2217391304347826,0.9505589414333672,-0.2332723629956262,0.8511410712641203,24,False
block_03,trunc_k135,C5,,0.09391304347826085,0.9380881188989534,0.1001111106582267,0.3312426929196674,24,False
block_04,GradDot_dmean,C1,,0.42173913043478256,0.9505589414333672,0.44367488648187725,0.02005183750138349,24,False
block_04,GradDot_dmean,C5,,0.3608695652173913,0.9380881188989534,0.38468621225151933,0.04159729639177143,24,False
block_04,trunc_k0,C1,,0.42173913043478256,0.9505589414333672,0.44367488648187725,0.02005183750138349,24,False
