target,ceiling,GradDot_ALL,GradDot_head,TracIn_head_last5_lr,KFAC_embed_1e-4,datamodel_LOO,draw
C1,0.9212810624897636,0.24729270602916914,0.2369101878371048,0.15196231172021463,0.350174022659625,0.0991058554697052,boot163
C1,0.9676141484597928,0.5212282467032505,0.5167348997489121,0.5562763529470895,0.03864278380730994,,boot164
C1,0.9629778067231101,0.4551100414832641,0.4551100414832641,0.5101928044405639,0.0009029961140540956,,boot165
C1,0.9661335607030862,0.3690191021528975,0.3600186362467292,0.45542357485211254,0.25651327832579457,0.6300326134317762,boot166
C1,0.9553481632079247,0.06462474395457181,0.05643287500258382,0.2630500141249472,0.2994583205782271,,boot167
C1,0.966741778145412,0.4389464029381467,0.4389464029381467,0.49381470330541505,0.25095501315521096,0.6170435090482965,boot168
C1,0.9426869178484517,0.5119501358453762,0.5119501358453762,0.5820550193124908,-0.03413000905635842,,boot169
C1,0.9664359158169541,0.48497333812114385,0.48497333812114385,0.6298355040534336,-0.046787780301112206,,boot170
C1,0.9456220393372481,0.23265109192483496,0.23173152239153516,0.2970209592558169,0.289664402989419,0.5692135411125407,boot171
C1,0.9541908150671583,0.505777972321193,0.49939879068831317,0.6224258650367115,0.3863961446201547,,boot172
C1,0.9615471442546466,0.5281343613683844,0.5236126630689977,0.4991954922523087,0.30476246537867396,,boot173
C1,0.9411919445824687,0.2928756195797322,0.2928756195797322,0.39358048561818887,0.309505780943881,0.6531957824696235,boot174
C1,0.943461712335759,0.5198247858882479,0.5189031107359636,0.6967864151268003,-0.17603995408626832,,boot175
C1,0.9614206103177022,0.5092102375770029,0.4992611920826033,0.5191592830714026,0.4160509934021694,0.12571975670195987,boot176
C1,0.9187374076561449,0.5593688024408849,0.5593688024408849,0.4552561657767608,-0.09654080854309689,,boot177
C1,0.9597467209407509,0.5064742039913125,0.5019440232758267,0.5028500594189238,0.18664344547801495,,boot178
C1,0.9360413247717335,0.47470962480776874,0.47470962480776874,0.4552010100896413,-0.04644908266220829,,boot179
C1,0.9603512850316414,0.3947830764553173,0.39387761068363075,0.36943003484809506,0.121332413405992,,boot180
C1,0.9373989373989374,0.32188977221591275,0.32188977221591275,0.4109428504082113,0.18831015492746478,0.5547264662395267,boot181
C1,0.952811473543855,0.28200295612996285,0.2810903252039759,0.36048921576483933,0.18526407797534777,0.6826479326382274,boot182
C1,0.9594890078523034,0.5047976809771992,0.5011725629809537,0.4069194950785681,0.2591959367315601,,boot183
C1,0.9660819214179448,0.3906410998706181,0.38974100517045546,0.5778607975044627,0.3969417627717572,0.5022528426907947,boot184
C1,0.9554686514444304,0.3658573380328584,0.3658573380328584,0.411361982066796,0.1255928175336678,0.4686978335495574,boot185
C1,0.9245516181824254,0.2577042372535284,0.2577042372535284,0.3028495050935626,0.2454773938801858,0.4730847859070248,boot186
C1,0.9137483179591361,0.48819455834192693,0.48248468046658277,0.2645576748909468,-0.19128090882402987,,boot187
C1,0.9323332093002691,0.49058780678970504,0.487789777473414,0.5409523344829448,0.18000655268139365,,boot188
C1,0.9403440773717024,0.6685804348671408,0.6685804348671408,0.640838508109168,0.1562795207365792,0.15720425162851162,boot189
C1,0.9386559238234755,0.2547583504385146,0.2547583504385146,0.41502451271438023,0.23715686440821726,0.5354557329216781,boot190
C1,0.9436273169664824,0.5307917185224748,0.5307917185224748,0.7058792645628745,0.023959348405528377,0.754719474774144,boot191
C1,0.9557848008676569,0.32479568866012976,0.32479568866012976,0.4767309267728515,0.0027293755349590736,,boot192
C1,0.9330486166080667,0.16029734649307154,0.16029734649307154,0.43336201232138527,-0.08480847983063669,0.24976563290780915,boot193
C1,0.9385781782221733,0.28813239949915,0.27794122138181665,0.504926552176967,-0.024088239186424113,0.6828089338613297,boot194
C1,0.9385587400421206,0.3798608695652174,0.3696694803817603,0.5799826935312831,0.30388869565217386,,boot195
C1,0.9355293702800387,0.07157073189384515,0.06971175184465435,0.21192372560774927,0.17009667450095664,,boot196
C1,0.9588909206522558,0.26661236268578287,0.2584507597464221,0.501485158385163,0.08433656370672722,0.5032988479272431,boot197
C1,0.9714760277254288,0.5111003513828013,0.5030444789441932,0.6220923716480682,0.41711517293237377,0.546009131950103,boot198
C1,0.9497336280940818,0.4751904475908272,0.46695015081179553,0.5640025350981687,-0.028383244461109135,0.5722428318772004,boot199
C1,0.9261217728995822,0.42815291761143914,0.42251932659023594,0.461954463738658,0.04600766000649237,,boot200
C1,0.9353612167300379,0.26402262283492406,0.2510074231177094,0.400682219865677,0.16176033934252387,0.22032873806998943,boot201
C1,0.8497078623142383,0.15350544392215865,0.15350544392215865,0.41241795933753295,-0.012280435513772694,,boot202
C1,0.9532691376931467,0.473428048786113,0.4688670849249751,0.4880231331417543,0.08027296395602687,,boot203
C1,0.9543908009481923,0.5138720764297456,0.512960955726856,0.6140953537476039,0.22049121009928802,0.3717372467789649,boot204
C1,0.961200963523744,0.5952698080387891,0.5952698080387891,0.6251237649769047,0.08594320936730238,,boot205
C1,0.9405455203500805,0.32913368964436834,0.31341663143101367,0.19877455975713254,0.18305750154377787,,boot206
C1,0.9423203258441729,0.5158404665486553,0.510303717354931,0.39587756735129365,-0.026760954436334538,0.45585901694997444,boot207
C1,0.9267421922161032,0.24583545334406862,0.24489715008703017,0.22613108494626158,0.019704368397807027,0.694344410208438,boot208
C1,0.9543719376231264,0.3407658780436328,0.33165449093016663,0.5685505558802857,0.2751638908266767,0.6368859592312816,boot209
C1,0.9615210956704962,0.37983294693047925,0.37983294693047925,0.5055395650812807,0.41962496994224374,0.8564328589122948,boot210
C1,0.9542210065171735,0.16767604035881223,0.15856321207844198,0.3508438887942539,0.13122472723733128,0.5112296665287698,boot211
C1,0.9493223890770134,0.24365205170287255,0.24365205170287255,0.36822603302464196,0.05129516877955211,,boot212
C1,0.9405765047798351,0.4354406210552463,0.43174261153460736,0.40770554965045364,-0.02958407616511228,,boot213
