group,lam_rel,method,frac_preconditioned,target,lds,ceiling,ratio,p,n,passed
embed,10000.0,kfac,0.9770992366412213,C5,0.27999999999999997,0.9380881188989534,0.2984794225180463,0.09255602682566309,24,False
embed,0.0001,ekfac,0.9770992366412213,C1,0.01652173913043478,0.9505589414333672,0.017381078027125088,0.46946143347275515,24,False
embed,0.0001,ekfac,0.9770992366412213,C5,0.27999999999999997,0.9380881188989534,0.2984794225180463,0.09255602682566309,24,False
embed,0.01,ekfac,0.9770992366412213,C1,0.01652173913043478,0.9505589414333672,0.017381078027125088,0.46946143347275515,24,False
embed,0.01,ekfac,0.9770992366412213,C5,0.27999999999999997,0.9380881188989534,0.2984794225180463,0.09255602682566309,24,False
embed,1.0,ekfac,0.9770992366412213,C1,0.01652173913043478,0.9505589414333672,0.017381078027125088,0.46946143347275515,24,False
embed,1.0,ekfac,0.9770992366412213,C5,0.27999999999999997,0.9380881188989534,0.2984794225180463,0.09255602682566309,24,False
embed,100.0,ekfac,0.9770992366412213,C1,0.01652173913043478,0.9505589414333672,0.017381078027125088,0.46946143347275515,24,False
embed,100.0,ekfac,0.9770992366412213,C5,0.27999999999999997,0.9380881188989534,0.2984794225180463,0.09255602682566309,24,False
embed,10000.0,ekfac,0.9770992366412213,C1,0.01652173913043478,0.9505589414333672,0.017381078027125088,0.46946143347275515,24,False
embed,10000.0,ekfac,0.9770992366412213,C5,0.27999999999999997,0.9380881188989534,0.2984794225180463,0.09255602682566309,24,False
block_00,0.0,none,0.7484164365762547,C1,0.04,0.9505589414333672,0.042080504697250214,0.42639021971699514,24,False
block_00,0.0,none,0.7484164365762547,C5,0.5243478260869565,0.9380881188989534,0.5589537011750992,0.004265544430594882,24,True
block_00,0.0001,kfac,0.7484164365762547,C1,0.034782608695652174,0.9505589414333672,0.03659174321500019,0.4359084359893287,24,False
block_00,0.0001,kfac,0.7484164365762547,C5,0.40956521739130425,0.9380881188989534,0.4365956770372664,0.023433084632456577,24,False
block_00,0.01,kfac,0.7484164365762547,C1,0.034782608695652174,0.9505589414333672,0.03659174321500019,0.4359084359893287,24,False
block_00,0.01,kfac,0.7484164365762547,C5,0.40956521739130425,0.9380881188989534,0.4365956770372664,0.023433084632456577,24,False
block_00,1.0,kfac,0.7484164365762547,C1,0.034782608695652174,0.9505589414333672,0.03659174321500019,0.4359084359893287,24,False
block_00,1.0,kfac,0.7484164365762547,C5,0.40956521739130425,0.9380881188989534,0.4365956770372664,0.023433084632456577,24,False
block_00,100.0,kfac,0.7484164365762547,C1,0.034782608695652174,0.9505589414333672,0.03659174321500019,0.4359084359893287,24,False
block_00,100.0,kfac,0.7484164365762547,C5,0.40956521739130425,0.9380881188989534,0.4365956770372664,0.023433084632456577,24,False
block_00,10000.0,kfac,0.7484164365762547,C1,0.034782608695652174,0.9505589414333672,0.03659174321500019,0.4359084359893287,24,False
block_00,10000.0,kfac,0.7484164365762547,C5,0.40956521739130425,0.9380881188989534,0.4365956770372664,0.023433084632456577,24,False
block_00,0.0001,ekfac,0.7484164365762547,C1,0.17304347826086955,0.9505589414333672,0.18204392249462592,0.2093701747861174,24,False
block_00,0.0001,ekfac,0.7484164365762547,C5,0.48173913043478256,0.9380881188989534,0.5135329194875704,0.008571259336209837,24,True
block_00,0.01,ekfac,0.7484164365762547,C1,0.16869565217391302,0.9505589414333672,0.1774699545927509,0.21535113086049065,24,False
block_00,0.01,ekfac,0.7484164365762547,C5,0.47478260869565214,0.9380881188989534,0.5061172816610351,0.009530049333680308,24,True
block_00,1.0,ekfac,0.7484164365762547,C1,0.16869565217391302,0.9505589414333672,0.1774699545927509,0.21535113086049065,24,False
block_00,1.0,ekfac,0.7484164365762547,C5,0.45739130434782604,0.9380881188989534,0.48757818709469675,0.012312202248102802,24,False
block_00,100.0,ekfac,0.7484164365762547,C1,0.17565217391304347,0.9505589414333672,0.18478830323575093,0.20582572348752698,24,False
block_00,100.0,ekfac,0.7484164365762547,C5,0.46347826086956523,0.9380881188989534,0.49406687019291523,0.011272486426091563,24,False
block_00,10000.0,ekfac,0.7484164365762547,C1,0.17565217391304347,0.9505589414333672,0.18478830323575093,0.20582572348752698,24,False
block_00,10000.0,ekfac,0.7484164365762547,C5,0.46347826086956523,0.9380881188989534,0.49406687019291523,0.011272486426091563,24,False
last_block,0.0,none,0.7484164365762547,C1,0.44695652173913036,0.9505589414333672,0.47020390031275233,0.014273142291222188,24,False
last_block,0.0,none,0.7484164365762547,C5,0.3739130434782608,0.9380881188989534,0.398590533176273,0.03593503688402976,24,False
last_block,0.0001,kfac,0.7484164365762547,C1,0.4434782608695652,0.9505589414333672,0.4665447259912524,0.014979669843233775,24,False
last_block,0.0001,kfac,0.7484164365762547,C5,0.37739130434782603,0.9380881188989534,0.4022983520895407,0.03452927263833055,24,False
last_block,0.01,kfac,0.7484164365762547,C1,0.4434782608695652,0.9505589414333672,0.4665447259912524,0.014979669843233775,24,False
last_block,0.01,kfac,0.7484164365762547,C5,0.37739130434782603,0.9380881188989534,0.4022983520895407,0.03452927263833055,24,False
last_block,1.0,kfac,0.7484164365762547,C1,0.4434782608695652,0.9505589414333672,0.4665447259912524,0.014979669843233775,24,False
last_block,1.0,kfac,0.7484164365762547,C5,0.37739130434782603,0.9380881188989534,0.4022983520895407,0.03452927263833055,24,False
last_block,100.0,kfac,0.7484164365762547,C1,0.4434782608695652,0.9505589414333672,0.4665447259912524,0.014979669843233775,24,False
