source,kind,A,B,lds_A,lds_B,ceil_A,ceil_B,ratio_A,ratio_B,log_gap,estimator_term,ceiling_term,ceiling_share,abs_ceiling_term,material,DENOMINATOR_DRIVEN,ceiling_spread_pct
b4_tracin.csv,auto,TracIn_trunc_k5,TracIn_trunc_k1,0.0026086956521739,0.0026086956521739,0.9380881188989534,0.9505589414333672,0.002780864184950728,0.002744380741125,0.013206282999700305,0.0,0.013206282999700305,1.0,0.013206282999700305,False,False,1.3119462655949325
b13_trak_gseries.csv,auto,GradDot,TRAK,0.4808695652173912,0.4817391304347825,0.9505589414333672,0.927024325224925,0.5058808499473775,0.5196618010189729,-0.026877050182388038,-0.0018066852249489244,-0.025070364957439115,0.9327796312211075,0.025070364957439115,False,False,2.475871319768334
p10_k15_census.csv,auto,"37 only (campaign N, winner's-curse-FREE)",33 only (Stage F DISCOVERY draw),0.2582582582582582,0.2651515151515151,0.5210954848260547,0.6677880571909167,0.4956064018564018,0.3970593847797877,0.2216962137285315,-0.02634133262997886,0.24803754635851036,0.9039965002878959,0.24803754635851036,True,True,21.966935584612205
b2_scores_archived.csv,auto,GradDot_dmean,trunc_k0,0.4391304347826086,0.4408695652173913,0.9255046198110548,0.9562323517547398,0.4744767615230907,0.46104857716680575,0.028709231280084697,-0.003952574315823469,0.032661805595908165,0.8920485796741017,0.032661805595908165,False,False,3.2134168946802353
b2_scores_archived.csv,auto,GradDot_dmean,trunc_k0,0.4408695652173913,0.4391304347826086,0.9562323517547398,0.9255046198110548,0.46104857716680575,0.4744767615230907,-0.02870923128008468,0.003952574315823563,-0.03266180559590824,0.8920485796740997,0.03266180559590824,False,False,3.2134168946802353
b2_scores_archived.csv,auto,GradDot_dmean,GradDot_dmean,0.4408695652173913,0.4391304347826086,0.9562323517547398,0.9255046198110548,0.46104857716680575,0.4744767615230907,-0.02870923128008468,0.003952574315823563,-0.03266180559590824,0.8920485796740997,0.03266180559590824,False,False,3.2134168946802353
b2_scores_archived.csv,auto,trunc_k0,trunc_k0,0.4408695652173913,0.4391304347826086,0.9562323517547398,0.9255046198110548,0.46104857716680575,0.4744767615230907,-0.02870923128008468,0.003952574315823563,-0.03266180559590824,0.8920485796740997,0.03266180559590824,False,False,3.2134168946802353
b4_tracin.csv,auto,TracIn,TracIn,0.5252173913043477,0.5243478260869565,0.9505589414333672,0.9380881188989534,0.5525353225465027,0.5589537011750992,-0.01154928179207099,0.0016570012076293867,-0.013206282999700376,0.8885171551242865,0.013206282999700376,False,False,1.3119462655949325
b7_diffusion.csv,auto,TracIn_trunc_k5,TracIn,0.3878260869565217,0.3869565217391304,0.82979067062928,0.8444377100886411,0.46737822041601157,0.45824164069900597,0.019742178944454233,0.002244669853823728,0.017497509090630504,0.8863008049851419,0.017497509090630504,False,False,1.7345316634217542
b7_diffusion.csv,auto,TracIn_trunc_k5,TracIn_trunc_k1,0.3878260869565217,0.3869565217391304,0.82979067062928,0.8444377100886411,0.46737822041601157,0.45824164069900597,0.019742178944454233,0.002244669853823728,0.017497509090630504,0.8863008049851419,0.017497509090630504,False,False,1.7345316634217542
exp_01_dev_s6.csv,auto,IF,IF,0.4026086956521739,0.4034782608695652,0.9327641408751334,0.9177998400225847,0.43162968858820017,0.4396146559141224,-0.0183305428838653,-0.0021574981400211257,-0.016173044743844175,0.8823003686420999,0.016173044743844175,False,False,1.604296327098177
b3_kfac.csv,auto,none,ekfac,0.4808695652173912,0.4817391304347825,0.9505589414333672,0.9380881188989534,0.5058808499473775,0.5135329194875703,-0.0150129682246493,-0.0018066852249489244,-0.013206282999700376,0.8796583594986508,0.013206282999700376,False,False,1.3119462655949325
b3_kfac.csv,auto,ekfac,ekfac,0.4808695652173912,0.4817391304347825,0.9505589414333672,0.9380881188989534,0.5058808499473775,0.5135329194875703,-0.0150129682246493,-0.0018066852249489244,-0.013206282999700376,0.8796583594986508,0.013206282999700376,False,False,1.3119462655949325
b3_kfac.csv,auto,ekfac,ekfac,0.4808695652173912,0.4817391304347825,0.9505589414333672,0.9380881188989534,0.5058808499473775,0.5135329194875703,-0.0150129682246493,-0.0018066852249489244,-0.013206282999700376,0.8796583594986508,0.013206282999700376,False,False,1.3119462655949325
