target,K,estimator,lds_mean,lds_sd,n_ok
C5,20,plain_ridge,0.1869172932330827,0.4080071152494559,20
C5,20,adaptive_lasso,0.47315789473684217,0.5089394263590118,20
C5,20,kernel_ridge,0.2116541353383458,0.3647433053305087,20
C5,20,priormean_ridge,0.18646616541353384,0.4076131178475127,20
C5,24,GradDot,0.28043478260869564,0.16407741729374123,20
C5,24,plain_lasso,0.5602608695652174,0.12752259149717357,20
C5,24,plain_ridge,0.2559130434782609,0.24015040970538343,20
C5,24,adaptive_lasso,0.5046086956521737,0.36805369666597504,20
C5,24,kernel_ridge,0.2487826086956521,0.2128234711390519,20
C5,24,priormean_ridge,0.2559130434782609,0.24015040970538343,20
