source,agg,lam_rel,beta,target,dG,dH,dI,d_pooled
cachedE20_full,dmean,3.0,0.0,C3,-0.027826086956521737,0.4017391304347826,-0.11043478260869563,0.06572769953051642
cachedE20_full,dmean,3.0,0.0,C4,-0.19391304347826085,-0.5504347826086956,-0.5191304347826086,-0.4219563959097049
cachedE20_full,dmean,3.0,0.0,C5,0.06869565217391305,0.014782608695652177,-0.24086956521739133,-0.09479709306064699
cachedE20_full,dmean,3.0,0.0,C6,-0.21043478260869564,0.021739130434782608,-0.4939130434782608,-0.23895427358672588
cachedE20_full,dmean,3.0,0.0,C7,-0.16173913043478258,0.1669565217391304,-0.128695652173913,-0.0220271400090038
cachedE20_full,dmean,3.0,0.0,C8,-0.07130434782608694,-0.13304347826086954,-0.3391304347826086,-0.15409351083670977
cachedE20_full,dmean,3.0,0.0,C9,-0.5365217391304348,-0.2626086956521739,0.5234782608695652,-0.10907453855553413
cachedE20_full,dmean,3.0,0.5,C1,-0.4713043478260869,-0.1252173913043478,0.5165217391304348,-0.09547237764486466
cachedE20_full,dmean,3.0,0.5,C2,-0.31478260869565217,-0.12173913043478257,0.17391304347826086,-0.06759277123930801
cachedE20_full,dmean,3.0,0.5,C3,-0.06869565217391303,0.36260869565217385,-0.15130434782608693,0.07231976332883143
cachedE20_full,dmean,3.0,0.5,C4,-0.17304347826086955,-0.5939130434782608,-0.5591304347826086,-0.44041417454498694
cachedE20_full,dmean,3.0,0.5,C5,0.020869565217391195,-0.03913043478260869,-0.25043478260869567,-0.12942954530838
cachedE20_full,dmean,3.0,0.5,C6,-0.11826086956521738,0.15304347826086956,-0.6008695652173912,-0.16734195125088433
cachedE20_full,dmean,3.0,0.5,C7,-0.011304347826086969,0.35565217391304343,0.13391304347826088,0.16547687954209278
cachedE20_full,dmean,3.0,0.5,C8,-0.07999999999999999,-0.07130434782608695,-0.42000000000000004,-0.20708727249340797
cachedE20_full,dmean,3.0,0.5,C9,-0.8252173913043477,-0.2304347826086956,0.5139130434782608,-0.1591742234227282
cachedE20_full,dmean,3.0,1.0,C1,-0.506086956521739,-0.053913043478260855,0.5530434782608695,-0.08473213711492703
cachedE20_full,dmean,3.0,1.0,C2,-0.18608695652173912,-0.24347826086956517,0.33304347826086955,0.03379638561965401
cachedE20_full,dmean,3.0,1.0,C3,-0.11739130434782609,0.45565217391304347,-0.3121739130434782,0.04260724162325551
cachedE20_full,dmean,3.0,1.0,C4,-0.07565217391304346,-0.6826086956521737,-0.652173913043478,-0.5181040581387872
cachedE20_full,dmean,3.0,1.0,C5,-0.28,-0.07043478260869565,-0.3443478260869565,-0.23522413016914273
cachedE20_full,dmean,3.0,1.0,C6,0.19391304347826085,0.23130434782608694,-0.517391304347826,-0.02485690398096342
cachedE20_full,dmean,3.0,1.0,C7,-0.02086956521739125,0.5113043478260869,0.21652173913043476,0.2669946620361438
