target,focal,estimator,family,rho,ceiling,bar,ratio,p_onesided,PASS
C6,False,GradDot_E20_normalized,SECONDARY,0.15652173913043477,0.9605116377501426,0.4802558188750713,0.16295662954908485,0.23257814893784542,False
C6,False,TracIn_E20_unnormalized,descriptive,0.029565217391304344,0.9605116377501426,0.4802558188750713,0.030780696692604914,0.44546130218835234,
C6,False,GradDot_E20_dmean,descriptive,0.07652173913043478,0.9605116377501426,0.4802558188750713,0.07966768555733038,0.3611495516064094,
C6,False,IF_E20_normalized,descriptive,-0.10086956521739131,0.9605116377501426,0.4802558188750713,-0.10501649459829913,0.680457034045461,
C6,False,IF_E20_unnormalized,descriptive,-0.15217391304347824,0.9605116377501426,0.4802558188750713,-0.1584300565060547,0.761101506404845,
C6,False,TRAK_E20_normalized,descriptive,-0.09304347826086956,0.9605116377501426,0.4802558188750713,-0.09686866312084488,0.6672837273772849,
C6,False,TRAK_E20_unnormalized,descriptive,-0.13826086956521738,0.9605116377501426,0.4802558188750713,-0.1439450227683583,0.740304425270427,
C7,False,TracIn_E20_normalized,CHAMPION,0.4026086956521739,0.9491509444224862,0.4745754722112431,0.4241777327600326,0.025556251269072603,False
C7,False,GradDot_E20_normalized,SECONDARY,0.3313043478260869,0.9491509444224862,0.4745754722112431,0.34905338268158187,0.05688774673740126,False
C7,False,TracIn_E20_unnormalized,descriptive,0.4208695652173913,0.9491509444224862,0.4745754722112431,0.4434168955850017,0.02027980036111722,
C7,False,GradDot_E20_dmean,descriptive,0.3756521739130434,0.9491509444224862,0.4745754722112431,0.3957770638279353,0.03522680844687852,
C7,False,IF_E20_normalized,descriptive,-0.22434782608695653,0.9491509444224862,0.4745754722112431,-0.23636685756390588,0.8540383970273799,
C7,False,IF_E20_unnormalized,descriptive,0.08956521739130434,0.9491509444224862,0.4745754722112431,0.09436351290341978,0.3386344734214487,
C7,False,TRAK_E20_normalized,descriptive,0.0008695652173913043,0.9491509444224862,0.4745754722112431,0.0009161506107128133,0.4983912483626347,
C7,False,TRAK_E20_unnormalized,descriptive,0.13652173913043478,0.9491509444224862,0.4745754722112431,0.1438356458819117,0.26235480972392144,
C8,False,TracIn_E20_normalized,CHAMPION,-0.06173913043478261,0.9462584539306231,0.47312922696531157,-0.06524552586909743,0.6127852122547104,False
C8,False,GradDot_E20_normalized,SECONDARY,-0.1782608695652174,0.9462584539306231,0.47312922696531157,-0.1883849690586616,0.7976853689640626,False
C8,False,TracIn_E20_unnormalized,descriptive,0.17565217391304347,0.9462584539306231,0.47312922696531157,0.18562811585292507,0.20582572348752698,
C8,False,GradDot_E20_dmean,descriptive,-0.1878260869565217,0.9462584539306231,0.47312922696531157,-0.19849343081302875,0.8102707508413087,
C8,False,IF_E20_normalized,descriptive,-0.2582608695652174,0.9462584539306231,0.47312922696531157,-0.2729284673679146,0.8884783909341032,
C8,False,IF_E20_unnormalized,descriptive,-0.10782608695652172,0.9462584539306231,0.47312922696531157,-0.11394993250377577,0.6919920589092172,
C8,False,TRAK_E20_normalized,descriptive,0.46434782608695646,0.9462584539306231,0.47312922696531157,0.4907198706210989,0.011129926756996847,
C8,False,TRAK_E20_unnormalized,descriptive,0.3678260869565217,0.9462584539306231,0.47312922696531157,0.388716302008848,0.03849943540091518,
C9,False,TracIn_E20_normalized,CHAMPION,0.4313043478260869,0.8946019346373317,0.44730096731866587,0.4821187291540299,0.017675227962356845,False
C9,False,GradDot_E20_normalized,SECONDARY,0.3539130434782608,0.8946019346373317,0.44730096731866587,0.3956095217050205,0.044879228044911346,False
C9,False,TracIn_E20_unnormalized,descriptive,0.3652173913043478,0.8946019346373317,0.44730096731866587,0.408245698073977,0.0396399453050445,
C9,False,GradDot_E20_dmean,descriptive,0.22,0.8946019346373317,0.44730096731866587,0.245919432411229,0.15081018527392076,
C9,False,IF_E20_normalized,descriptive,0.3208695652173913,0.8946019346373317,0.44730096731866587,0.35867300616499403,0.06316081961538045,
C9,False,IF_E20_unnormalized,descriptive,0.08434782608695651,0.8946019346373317,0.44730096731866587,0.09428531598375181,0.347581301567925,
C9,False,TRAK_E20_normalized,descriptive,-0.07739130434782608,0.8946019346373317,0.44730096731866587,-0.0865092074490094,0.6403664272283376,
C9,False,TRAK_E20_unnormalized,descriptive,-0.025217391304347827,0.8946019346373317,0.44730096731866587,-0.02818839343844127,0.5465551913005124,
