target,outcome,attributor,rho,ceiling_6seed,ratio,p_onesided,half_ceiling_bar,focal,PASS
C3,neg_plain_loss,IF,-0.2217391304347826,0.6441876915821739,-0.34421509962441915,0.8511410712641203,0.32209384579108696,False,False
C3,neg_plain_loss,TRAK,-0.3060869565217391,0.6441876915821739,-0.47515182379527665,0.9271162952067029,0.32209384579108696,False,False
C3,neg_plain_loss,TracIn,-0.11391304347826085,0.6441876915821739,-0.1768320707874467,0.7019429746652933,0.32209384579108696,False,False
C3,logit_success,IF,0.046956521739130425,0.7809166038423733,0.06013000813158344,0.4137618979324297,0.39045830192118663,False,False
C3,logit_success,TRAK,-0.14608695652173911,0.7809166038423733,-0.1870711364093707,0.7521085351578431,0.39045830192118663,False,False
C3,logit_success,TracIn,-0.13478260869565215,0.7809166038423733,-0.17259539371102653,0.7349730567273075,0.39045830192118663,False,False
C3,neg_transport_loss,IF,-0.22869565217391302,0.6433079690910164,-0.3554994857238536,0.8587883961818418,0.3216539845455082,False,False
C3,neg_transport_loss,TRAK,-0.24,0.6433079690910164,-0.37307170364936726,0.8706768797269958,0.3216539845455082,False,False
C3,neg_transport_loss,TracIn,-0.11304347826086956,0.6433079690910164,-0.17572217925513678,0.7005297825472017,0.3216539845455082,False,False
C3,neg_interaction_loss,IF,0.010434782608695651,0.7373737373737373,0.0141512805241215,0.4807019363886902,0.3686868686868687,False,False
C3,neg_interaction_loss,TRAK,-0.3652173913043478,0.7373737373737373,-0.49529481834425254,0.9603600546949556,0.3686868686868687,False,False
C3,neg_interaction_loss,TracIn,-0.1652173913043478,0.7373737373737373,-0.22406194163192372,0.7797985384358452,0.3686868686868687,False,False
C4,neg_plain_loss,IF,-0.2121739130434782,0.7945492662473793,-0.26703682459561773,0.8402143888556597,0.39727463312368966,False,False
C4,neg_plain_loss,TRAK,-0.04434782608695652,0.7945492662473793,-0.05581507399334634,0.5815115079674701,0.39727463312368966,False,False
